Title,Location,Area,Price
                        Apartment Bilderdijkstraat                            ,            1053 KN Amsterdam (Da Costabuurt)        ,120 m²,"                €2,650 per month            "
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,155 m²,"                €3,250 per month            "
                        Apartment Ruyschstraat 99 3                            ,            1091 BZ Amsterdam (Oosterparkbuurt)        ,80 m²,"                €2,600 per month            "
                        Apartment Rijnstraat                            ,            1078 PV Amsterdam (IJselbuurt)        ,78 m²,"                €2,350 per month            "
                        Apartment Reyer Anslostraat 17 H                            ,            1054 KT Amsterdam (Overtoomse Sluis)        ,117 m²,"                €3,000 per month            "
                        Apartment Vrolikstraat                            ,            1092 TW Amsterdam (Oosterparkbuurt)        ,57 m²,"                €1,950 per month            "
                        Apartment Vondelstraat                            ,            1054 GE Amsterdam (Vondelbuurt)        ,125 m²,"                €2,850 per month            "
                        Apartment Utrechtsestraat 40 1                            ,            1017 VP Amsterdam (Grachtengordel-Zuid)        ,120 m²,"                €2,450 per month            "
                        House Holbeinstraat                            ,            1077 VC Amsterdam (Apollobuurt)        ,201 m²,"                €6,000 per month            "
                        Apartment Sarphatipark                            ,            1072 PB Amsterdam (Oude Pijp)        ,83 m²,"                €2,975 per month            "
                        Apartment Wijsmullerstraat                            ,            1058 JG Amsterdam (Hoofddorppleinbuurt)        ,55 m²,"                €1,850 per month            "
                        Apartment Herengracht                            ,            1015 BD Amsterdam (Grachtengordel-West)        ,100 m²,"                €2,750 per month            "
                        Apartment Huidekoperstraat                            ,            1017 ZM Amsterdam (De Weteringschans)        ,65 m²,"                €2,100 per month            "
                        Apartment Jacob van Lennepkade                            ,            1053 NN Amsterdam (Van Lennepbuurt)        ,41 m²,"                €1,650 per month            "
                        Apartment Theodoor van Hoytemastraat                            ,            1062 CG Amsterdam (Overtoomse Veld)        ,89 m²,"                €1,950 per month            "
                        Apartment Prinsengracht                            ,            1017 LC Amsterdam (De Weteringschans)        ,105 m²,"                €2,250 per month            "
                        Apartment Koggestraat                            ,            1012 TA Amsterdam (Burgwallen-Nieuwe Zijde)        ,92 m²,"                €2,950 per month            "
                        Apartment Admiralengracht 52 2                            ,            1057 GA Amsterdam (Chassébuurt)        ,60 m²,"                €1,500 per month            "
                        Apartment Woestduinstraat                            ,            1059 TA Amsterdam (Hoofddorppleinbuurt)        ,55 m²,"                €1,850 per month            "
                        Apartment Kinkerstraat                            ,            1053 GG Amsterdam (Van Lennepbuurt)        ,54 m²,"                €2,250 per month            "
                        Apartment Waterlooplein                            ,            1011 PG Amsterdam (Nieuwmarkt/Lastage)        ,45 m²,"                €1,600 per month            "
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,100 m²,"                €3,000 per month            "
                        Apartment Nieuwezijds Voorburgwal 18 B                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,100 m²,"                €3,000 per month            "
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,100 m²,"                €3,250 per month            "
                        Apartment Bentinckstraat                            ,            1051 GD Amsterdam (Staatsliedenbuurt)        ,87 m²,"                €2,500 per month            "
                        Apartment Nassaukade                            ,            1053 LK Amsterdam (Da Costabuurt)        ,40 m²,"                €1,600 per month            "
                        Apartment Gravenstraat                            ,            1012 NL Amsterdam (Burgwallen-Nieuwe Zijde)        ,55 m²,"                €1,900 per month            "
                        Apartment Loenermark                            ,            1025 TP Amsterdam (Buikslotermeer)        ,75 m²,"                €1,950 per month            "
                        Apartment KNSM-laan 360                            ,            1019 LN Amsterdam (Oostelijk Havengebied)        ,72 m²,"                €1,950 per month            "
                        Apartment Cornelis van Rijplantsoen 3                            ,            1063 MC Amsterdam (Slotermeer-Noordoost)        ,91 m²,"                €1,950 per month            "
                        Apartment Weerdestein 90                            ,            1083 GG Amsterdam (Buitenveldert-Oost)        ,110 m²,"                €2,500 per month            "
                        Apartment Leenhofstraat                            ,            1067 KW Amsterdam (Geuzenveld)        ,69 m²,"                €1,750 per month            "
